coursecode	section_id	searchable_id1	searchable_id2	searchable_id3	reading_list_code	readin_list_name	reading_list_descripotion	reading_list_subject	reading_list_status	RLStatus	visibility	reading_list_assigned_to	reading_list_library_note	reading_list_instructor_note	owner_user_name	creativecomone	section_name	section_description	section_start_date	section_end_date	section_tags	citation_secondary_type	citation_status	citation_tags	citation_mms_id	citation_original_system_id	citation_title	citation_journal_title	citation_author	citation_publication_date	citation_edition	citation_isbn	citation_issn	citation_place_of_publication	citation_publisher	citation_volume	citation_issue	citation_pages	citation_start_page	citation_end_page	citation_doi	citation_oclc	citation_lccn	citation_chapter	rlterms_chapter_title	citation_chapter_author	editor	citation_source	citation_source1	citation_source2	citation_source3	citation_source4	citation_source5	citation_source6	citation_source7	citation_source8	citation_source9	citation_source10	citation_note	additional_person_name	file_name	citation_public_note	license_type	citation_instructor_note	citation_library_note	external_system_id
2238-84972	03				Fa23-AAST-0094-03-Special Studies	Fa23-AAST-0094-03-Special Studies			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577603851		"""Empire's mistress starring Isabel Rosario Cooper /"""					9781478014003																																		
2238-82110	01				Fa23-ENG-0036-01-Asian American Writers	Fa23-ENG-0036-01-Asian American Writers			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577603851		"""Empire's mistress starring Isabel Rosario Cooper /"""					9781478014003																																		
2238-84412	15				Fa23-WGSS-0085-15-Topics in WGSS	Fa23-WGSS-0085-15-Topics in WGSS			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577603851		"""Empire's mistress starring Isabel Rosario Cooper /"""					9781478014003																																		
2238-84441	01				Fa23-AFR-0047-01-Special Topics	Fa23-AFR-0047-01-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574503851		"""The curse of caste or The slave bride : a rediscovered African American novel /"""					9780195301601																																		
2238-83297	01				Fa23-ENG-0038-01-Early Afr Amer Authorship	Fa23-ENG-0038-01-Early Afr Amer Authorship			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574503851		"""The curse of caste or The slave bride : a rediscovered African American novel /"""					9780195301601																																		
2238-84457	05				Fa23-AFR-0147-05-Special Topics	Fa23-AFR-0147-05-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573603851		"""Pan-Africanism : a history /"""					9781474254274																																		
2238-83914	01				Fa23-HIST-0113-01-Pan-Africanism	Fa23-HIST-0113-01-Pan-Africanism			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573603851		"""Pan-Africanism : a history /"""					9781474254274																																		
2238-84106	01				Fa23-AMER-0053-01-Amer Fiction 1900-1950	Fa23-AMER-0053-01-Amer Fiction 1900-1950			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778703851		"""The great Gatsby /"""					9780743273565																																		
2238-81504	01				Fa23-ENG-0063-01-Amer Fiction 1900-1950	Fa23-ENG-0063-01-Amer Fiction 1900-1950			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778703851		"""The great Gatsby /"""					9780743273565																																		
2238-84442	01				Fa23-AMER-0094-01-Special Topics	Fa23-AMER-0094-01-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577003851		"""Running a thousand miles for freedom : the escape of William and Ellen Craft from slavery /"""					9780820321042																																		
2238-83306	01				Fa23-ENG-0091-01-Topics Lit & Culture	Fa23-ENG-0091-01-Topics Lit & Culture			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577003851		"""Running a thousand miles for freedom : the escape of William and Ellen Craft from slavery /"""					9780820321042																																		
2238-84442	01				Fa23-AMER-0094-01-Special Topics	Fa23-AMER-0094-01-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778203851		"""Of one blood or The hidden self /"""					9780743467698																																		
2238-83306	01				Fa23-ENG-0091-01-Topics Lit & Culture	Fa23-ENG-0091-01-Topics Lit & Culture			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778203851		"""Of one blood or The hidden self /"""					9780743467698																																		
2238-83936	01				Fa23-AMER-0173-01-Justic in 1960s Amer. Ctrcultr	Fa23-AMER-0173-01-Justic in 1960s Amer. Ctrcultr			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022776403851		"""SCUM manifesto /"""					9781849351805																																		
2238-84790	02				Fa23-AMER-0194-02-Special Topics	Fa23-AMER-0194-02-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576103851		"""Blessed : a history of the American prosperity gospel /"""					9780190876739																																		
2238-84955	01				Fa23-CVS-0130-01-Evangelicalism in America	Fa23-CVS-0130-01-Evangelicalism in America			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576103851		"""Blessed : a history of the American prosperity gospel /"""					9780190876739																																		
2238-84169	01				Fa23-HIST-0173-01-Adv Sp Tp: North America	Fa23-HIST-0173-01-Adv Sp Tp: North America			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576103851		"""Blessed : a history of the American prosperity gospel /"""					9780190876739																																		
2238-84791	03				Fa23-RCD-0194-03-Special Topics	Fa23-RCD-0194-03-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576103851		"""Blessed : a history of the American prosperity gospel /"""					9780190876739																																		
2238-83769	01				Fa23-REL-0121-01-Evangelicalism in America	Fa23-REL-0121-01-Evangelicalism in America			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576103851		"""Blessed : a history of the American prosperity gospel /"""					9780190876739																																		
2238-82255	01				Fa23-ANTH-0016-01-Intro to Latinx Cultures	Fa23-ANTH-0016-01-Intro to Latinx Cultures			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576403851		"""Tacit subjects : belonging and same-sex desire among Dominican immigrant men /"""					9780822349457																																		
2238-84931	02				Fa23-LST-0094-02-Special Topics	Fa23-LST-0094-02-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576403851		"""Tacit subjects : belonging and same-sex desire among Dominican immigrant men /"""					9780822349457																																		
